ID,Sampling time,Location,Na,NH,K,Mg,Ca,F,Cl,NO2,Br,NO3,PO4,SO3,HCO3,HCO3,Cations,Anions,ElectricBalance_%
LJ000,5/4/2021 13:00,Lake Jackson,0.106133101,0,0.027546166,0.149105122,0.177653576,0.008169281,0.166970381,0,0,0.001972453,0,0,0.275944625,0.275944625,0.468607246,0.720832083,-21.2053554
LJ002,6/8/2021 13:08,Lake Jackson,0.07907786,0,0.024272341,0.079489817,0.119417137,0.009906306,0.131734838,0,0,0.003435262,0,0,0.120102669,0.120102669,0.312163461,0.375375438,-9.19394923
LJ003,6/14/2021 17:20,Lake Jackson,0.098956068,0,0.018747762,0.08418021,0.122760617,0.002721339,0.109404795,0,0,0.00311109,0,0,0.144875783,0.144875783,0.327365996,0.402267451,-10.26562794
LJ004,6/21/2021 11:18,Lake Jackson,0.106089604,0,0.019898716,0.098498251,0.132541544,0.002931888,0.109342736,0,0,0,0,0,0.19626237,0.19626237,0.359960003,0.501867476,-16.46587936
LJ005,6/25/2021 10:40,Lake Jackson,0.176424532,0,0.072868177,0.126969759,0.174609511,0,0.14271086,0,0,0,0,0,0.218529954,0.218529954,0.550871981,0.579770769,-2.55596107
LJ006,7/5/2021 10:13,Lake Jackson,0.146411483,0,0.070284925,0.263649455,0.054094516,0.004532056,0.162008463,0,0,0,0,0,0.221945266,0.221945266,0.538972435,0.605898995,-5.845770873
LJ007,7/12/2021 10:14,Lake Jackson,0.072422793,0,0.010358586,0.190989508,0.043215729,0.002473945,0.077136812,0,0,0.004602929,0,0,0.166387465,0.166387465,0.319460561,0.414514672,-12.95058833
LJ008,7/19/2021 10:30,Lake Jackson,0.103871248,0,0.016880659,0.081217856,0.128798842,0.002800295,0.085717913,0,0,0,0,0,0.186442319,0.186442319,0.333568901,0.458602551,-15.78366019
LJ009,7/27/2021 11:20,Lake Jackson,0.103566768,0,0.019694102,0.079818967,0.128998453,0,0.082826516,0,0,0,0,0,0.174379248,0.174379248,0.33207829,0.431585012,-13.03018246
LJ010,8/2/2021 10:45,Lake Jackson,0.110439321,0,0.034170546,0.076692039,0.125804681,0.005690073,0.114933709,0,0,0,0,0,0.158685342,0.158685342,0.352796659,0.432304393,-10.12707009
LJ011,8/9/2021 10:45,Lake Jackson,0.117703349,0,0.051767354,0.095865048,0.155546684,0.002631856,0.130575458,0,0,0,0,0,0.196432225,0.196432225,0.423514291,0.523439907,-10.55231775
LJ012,8/12/2021 14:38,Lake Jackson,0.132100913,0.020289373,0.057368663,0.077185764,0.140226558,0.007469207,0.118121298,0,0,0,0,0,0.162811361,0.162811361,0.43464048,0.443744019,-1.036395779
LJ013,8/17/2021 11:50,Lake Jackson,0.104871683,0,0.015039132,0.061139683,0.109137182,0,0.147622003,0,0,0,0,0,0.170524295,0.170524295,0.290187681,0.488670593,-25.4838291
