,ID,Datatime_Collection,Li,Na,NH4,K,Mg,Ca,F,Cl,NO2,Br,NO3,PO4,SO4,EC,TDS,pH,pOH,TotalAlk(mg/L_asCaCO3),Fe,Temp,H,OH,CO3,HCO3
0,FW100A,NaN,0,20.554,1.313,4.859,2.124,30.762,1.308,9.3182,0.0335,0.0535,8.1533,1.4925,45.2252,213.0,149.1,6.93,7.07,29.2,NaN,22.0,0.00011841087517702563,0.0014475559957119266,0.013115453020037917,35.578315792442865
1,FW100B,NaN,0,19.351,1.19,4.4,2.291,38.636,1.2288,9.0458,0.0666,0.0495,7.3998,1.4578,41.8836,232.0,162.4,7.33,6.67,46.2,NaN,22.0,4.714021847948898e-05,0.0036360962644791314,0.052053287730712855,56.21474624564933
2,FW100C,NaN,0,23.277,1.383,5.486,2.216,34.128,1.3143,10.555,0.0224,0.0581,9.6716,1.5028,52.681,205.0,143.5,7.19,6.81,27.5,NaN,21.9,6.507161581902867e-05,0.002634118888283027,0.022409147143174473,33.47915181018752
3,FW101,2/3/2022 17:20,0,19.929,1.255,5.347,1.94,28.456,1.412,8.743,0.0939,0.0573,8.1602,1.2894,44.4687,201.0,140.7,6.83,7.17,23.6,0.22,20.5,0.0001490704597931446,0.0011498345987384052,0.00814665681375815,28.763369773892876
4,FW102,2/4/2022 10:45,0,20.288,1.197,5.1,2.117,32.874,1.5083,9.1747,0.1008,0.0789,8.1795,1.5216,44.7318,211.0,147.7,7.13,6.87,30.1,0.09,19.7,7.471221135927168e-05,0.002294221643310102,0.020339559013134854,36.65529480770667
5,FW103,2/5/2022 12:10,0,17.335,0.894,4.183,2.651,49.071,1.2057,9.1106,0.0888,0.0636,6.2254,1.2443,33.5713,252.0,176.4,8.21,5.79,67.5,0.087,20.7,6.21429106676075e-06,0.02758261086881258,0.5533499223034053,81.07761308218205
6,FW104,2/6/2022 18:40,0,11.149,0.454,2.466,3.369,66.684,0.6093,6.7956,0.0212,0.0566,3.9636,0.8244,19.0,294.0,205.8,7.72,6.28,115.2,0.33,21.9,1.9203995299920805e-05,0.008925557918705952,0.3170394776942117,139.78560879399532
7,FW105,2/7/2022 13:40,0,7.909,0.209,1.409,4.35,90.422,0.353,6.1536,0.0,0.0543,2.3276,0.5909,8.9506,298.0,208.6,7.64,6.36,135.8,0.0,21.3,2.3088280551654743e-05,0.0074239557136581685,0.3070539209215286,164.92873104264027
8,FW106,2/8/2022 11:40,0,6.577,0.103,1.828,4.24,85.823,0.384,5.5829,0.0,0.0533,1.5865,0.4624,4.7882,319.0,223.3,7.62,6.38,152.2,0.0,21.1,2.417639769104603e-05,0.007089822665495037,0.32725792348231975,184.8851210965247
9,FW107,2/9/2022 16:00,0,6.049,0.156,0.1325,3.903,77.68,0.3223,5.278,0.0,0.0465,1.6294,0.4524,5.2684,308.0,215.6,7.71,6.29,143.8,0.163,21.9,1.9651313814201484e-05,0.008722387415956339,0.3867995793704404,174.51594428431196
