,ID,Datatime_Collection,pH,EC,Na_meqL,NH4,K_meqL,Mg_meqL,Ca_meqL,F_meqL,Cl_meqL,Br_meqL,NO3_meqL,PO4_meqL,SO4_meqL,HCO3_meqL,CO3_meqL,CationSum,AnionSum,EB_perc
0,FW100A,NaN,6.93,213.0,0.894,0.073,0.124,0.175,1.535,-0.069,-0.263,-0.001,-0.131,-0.047,-0.942,-0.583,-0.0,2.7279999999999998,-1.9189999999999998,17.41
1,FW100B,NaN,7.33,232.0,0.842,0.066,0.113,0.189,1.928,-0.065,-0.255,-0.001,-0.119,-0.046,-0.872,-0.921,-0.002,3.072,-2.167,17.27
2,FW100C,NaN,7.19,205.0,1.012,0.077,0.14,0.182,1.703,-0.069,-0.298,-0.001,-0.156,-0.047,-1.097,-0.549,-0.001,3.037,-2.1,18.24
3,FW101,2/3/2022 17:20,6.83,201.0,0.867,0.07,0.137,0.16,1.42,-0.074,-0.247,-0.001,-0.132,-0.041,-0.926,-0.471,-0.0,2.5839999999999996,-1.7760000000000002,18.53
4,FW102,2/4/2022 10:45,7.13,211.0,0.882,0.066,0.13,0.174,1.641,-0.079,-0.259,-0.001,-0.132,-0.048,-0.931,-0.601,-0.001,2.827,-1.923,19.03
5,FW103,2/5/2022 12:10,8.21,252.0,0.754,0.05,0.107,0.218,2.449,-0.063,-0.257,-0.001,-0.1,-0.039,-0.699,-1.329,-0.018,3.5279999999999996,-2.385,19.33
6,FW104,2/6/2022 18:40,7.72,294.0,0.485,0.025,0.063,0.277,3.328,-0.032,-0.192,-0.001,-0.064,-0.026,-0.396,-2.291,-0.011,4.153,-2.943,17.05
7,FW105,2/7/2022 13:40,7.64,298.0,0.344,0.012,0.036,0.358,4.512,-0.019,-0.174,-0.001,-0.038,-0.019,-0.186,-2.703,-0.01,5.25,-3.1009999999999995,25.73
8,FW106,2/8/2022 11:40,7.62,319.0,0.286,0.006,0.047,0.349,4.283,-0.02,-0.157,-0.001,-0.026,-0.015,-0.1,-3.03,-0.011,4.965,-3.3129999999999997,19.96
9,FW107,2/9/2022 16:00,7.71,308.0,0.263,0.009,0.003,0.321,3.876,-0.017,-0.149,-0.001,-0.026,-0.014,-0.11,-2.86,-0.013,4.463,-3.1449999999999996,17.32
10,FW108,2/10/2022 11:20,7.69,318.0,0.254,0.0,0.021,0.35,4.268,-0.011,-0.151,-0.001,-0.026,-0.011,-0.076,-3.02,-0.013,4.893,-3.2729999999999997,19.84
11,FW109,2/11/2022 10:45,7.66,326.0,0.232,0.0,0.021,0.339,4.175,-0.009,-0.139,-0.001,-0.022,-0.013,-0.073,-3.085,-0.012,4.7669999999999995,-3.319,17.91
12,FW110,2/12/2022 15:20,7.58,338.0,0.272,0.0,0.028,0.385,5.013,-0.011,-0.161,-0.001,-0.025,-0.017,-0.088,-3.27,-0.011,5.698,-3.544,23.31
13,FW111,2/13/2022 15:35,7.8,311.0,0.216,0.0,0.019,0.33,4.042,-0.009,-0.134,-0.001,-0.02,-0.014,-0.063,-2.984,-0.017,4.606999999999999,-3.201,18.01
14,FW112,2/14/2022 11:25,7.55,313.0,0.223,0.0,0.022,0.336,4.061,-0.01,-0.136,-0.001,-0.025,-0.012,-0.062,-3.004,-0.009,4.6419999999999995,-3.227,17.98
15,FW113,2/16/2022 11:45,7.58,289.0,0.238,0.0,0.022,0.326,3.675,-0.01,-0.137,-0.001,-0.027,-0.024,-0.084,-2.71,-0.009,4.261,-2.958,18.05
16,FW114,2/17/2022 12:35,7.65,307.0,0.219,0.0,0.023,0.323,4.026,-0.012,-0.128,-0.001,-0.026,-0.018,-0.077,-2.953,-0.012,4.590999999999999,-3.1839999999999997,18.1
17,FW115,2/18/2022 10:20,7.51,293.0,0.169,0.0,0.014,0.262,3.19,-0.009,-0.102,-0.001,-0.021,-0.02,-0.053,-2.796,-0.008,3.635,-2.9719999999999995,10.03
18,FW116,2/19/2022 14:45,7.73,277.0,0.115,0.005,0.008,0.205,2.427,-0.009,-0.071,-0.001,-0.015,-0.013,-0.042,-2.663,-0.012,2.755,-2.791,-0.65
19,FW117,2/20/2022 11:15,7.75,263.0,0.167,0.0,0.014,0.262,3.525,-0.011,-0.1,-0.0,-0.018,-0.014,-0.056,-2.537,-0.012,3.968,-2.711,18.82
20,FW118,2/21/2022 17:00,7.6,281.0,0.188,0.0,0.018,0.279,3.325,-0.012,-0.11,-0.001,-0.024,-0.021,-0.069,-2.672,-0.009,3.81,-2.875,13.99
21,FW120,2/22/2022 11:30,7.8,251.0,0.214,0.0,0.015,0.325,3.397,-0.011,-0.13,-0.001,-0.025,-0.022,-0.067,-2.385,-0.013,3.9509999999999996,-2.6069999999999998,20.49
22,FW121,2/23/2022 10:45,7.67,286.0,0.204,0.0,0.016,0.311,3.588,-0.01,-0.125,-0.002,-0.025,-0.021,-0.058,-2.712,-0.011,4.119,-2.92,17.03
23,FW122,2/24/2022 16:40,7.83,234.0,0.173,0.005,0.017,0.272,2.979,-0.012,-0.113,-0.0,-0.02,-0.02,-0.052,-2.203,-0.013,3.4410000000000003,-2.388,18.06
24,FW123,2/25/2022 11:20,7.86,225.0,0.132,0.0,0.009,0.222,2.589,-0.011,-0.137,-0.0,-0.025,-0.015,-0.06,-2.144,-0.013,2.952,-2.366,11.02
25,FW124,2/26/2022 14:10,7.81,272.0,0.203,0.0,0.021,0.315,3.919,-0.011,-0.122,-0.001,-0.021,-0.016,-0.063,-2.616,-0.015,4.458,-2.822,22.47
26,FW125,2/27/2022 15:30,7.72,321.0,0.222,0.006,0.019,0.33,4.199,-0.011,-0.135,-0.001,-0.024,-0.016,-0.07,-3.079,-0.014,4.77,-3.3080000000000003,18.1
27,FW126,2/28/2022 10:10,7.68,326.0,0.222,0.007,0.021,0.325,4.272,-0.03,-0.132,-0.001,-0.024,-0.016,-0.073,-3.124,-0.013,4.84,-3.353,18.15
28,FW127,3/9/2022 10:00,7.62,321.0,0.256,0.009,0.026,0.328,4.131,-0.013,-0.141,-0.001,-0.025,-0.016,-0.109,-3.038,-0.011,4.7410000000000005,-3.3129999999999997,17.73
29,FW128,3/10/2022 11:15,8.08,283.0,0.163,0.0,0.019,0.26,3.776,-0.01,-0.097,-0.001,-0.015,-0.014,-0.055,-2.747,-0.029,4.218,-2.914,18.28
30,FW129,3/11/2022 14:20,7.7,317.0,0.202,0.009,0.013,0.292,4.187,-0.01,-0.115,-0.001,-0.018,-0.015,-0.068,-3.073,-0.014,4.694,-3.274,17.82
31,FW130,3/12/2022 16:30,7.59,322.0,0.236,0.005,0.027,0.325,4.302,-0.011,-0.142,-0.001,-0.024,-0.015,-0.081,-3.1,-0.013,4.89,-3.347,18.73
32,FW131,3/14/2022 12:00,7.65,308.0,0.181,0.0,0.014,0.284,4.104,-0.01,-0.109,-0.001,-0.018,-0.016,-0.067,-2.951,-0.012,4.583,-3.145,18.61
33,FW132,3/15/2022 9:30,7.47,355.0,0.217,0.0,0.018,0.331,4.7,-0.01,-0.085,-0.0,-0.016,-0.016,-0.042,-3.47,-0.009,5.266,-3.613,18.62
