,ID,Sampling time,Location,pH,pOH,EC(us/cm),Na_mgL,K_mgL,Mg_mgL,Ca_mgL,F_mgL,Cl_mgL,NO3_mgL,PO4_mgL,SO4_mgL,HCO3_mgL,CO3_mgL
0,LJ000,2021-05-04 13:00:00,Lake Jackson ,6.52,7.48,52.1,2.44,1.077,1.812,3.56,0.1552,5.9191,0.1223,0.0,0.0,16.8371,0.0026
1,LJ002,2021-06-08 13:08:00,Lake Jackson ,6.55,7.45,32.0,1.818,0.949,0.966,2.393,0.1882,4.67,0.213,0.0,0.0,7.3283,0.0012
2,LJ003,2021-06-14 17:20:00,Lake Jackson ,5.99,8.01,35.0,2.275,0.733,1.023,2.46,0.0517,3.8784,0.1929,0.0,0.0,8.8397,0.0004
3,LJ004,2021-06-21 11:18:00,Lake Jackson ,6.31,7.69,38.0,2.439,0.778,1.197,2.656,0.0557,3.8762,0.0,0.0,0.0,11.9755,0.0011
4,LJ005,2021-06-25 10:40:00,Lake Jackson ,6.12,7.88,59.5,4.056,2.849,1.543,3.499,0.0,5.0591,0.0,0.0,0.0,13.3341,0.0008
5,LJ006,2021-07-05 10:13:00,Lake Jackson ,6.59,7.41,51.6,3.366,2.748,3.204,1.084,0.0861,5.7432,0.0,0.0,0.0,13.5423,0.0024
6,LJ007,2021-07-12 10:14:00,Lake Jackson ,6.24,7.76,29.5,1.665,0.405,2.321,0.866,0.047,2.7345,0.2854,0.0,0.0,10.1524,0.0008
7,LJ008,2021-07-19 10:30:00,Lake Jackson ,6.19,7.81,35.9,2.388,0.66,0.987,2.581,0.0532,3.0387,0.0,0.0,0.0,11.376,0.0008
8,LJ009,2021-07-27 11:20:00,Lake Jackson ,6.24,7.76,35.4,2.381,0.77,0.97,2.585,0.0,2.9362,0.0,0.0,0.0,10.64,0.0009
9,LJ010,2021-08-02 10:45:00,Lake Jackson ,6.07,7.93,39.5,2.539,1.336,0.932,2.521,0.1081,4.0744,0.0,0.0,0.0,9.6825,0.0005
10,LJ011,2021-08-09 10:45:00,Lake Jackson ,6.19,7.81,46.3,2.706,2.024,1.165,3.117,0.05,4.6289,0.0,0.0,0.0,11.9855,0.0009
11,LJ012,2021-08-12 14:38:00,Lake Jackson ,6.01,7.99,44.5,3.037,2.243,0.938,2.81,0.1419,4.1874,0.0,0.0,0.0,9.9341,0.0005
12,LJ013,2021-08-17 11:50:00,Lake Jackson ,6.15,7.85,32.3,2.411,0.588,0.743,2.187,0.0,5.2332,0.0,0.0,0.0,10.405,0.0007
13,LJ014,2021-08-20 09:45:00,Lake Jackson ,6.14,7.86,50.8,4.057,1.413,1.16,3.177,0.0,4.5962,0.0,0.0,0.0,14.673,0.0009
14,LJ015,2021-08-24 09:25:00,Lake Jackson ,6.36,7.64,82.1,7.046,2.8743,3.563,7.123,0.0458,5.0522,0.0,0.0,0.0,27.0874,0.0029
15,LJ016,2021-08-26 13:40:00,Lake Jackson ,6.35,7.65,69.1,5.185,1.314,2.071,4.947,0.0,4.9495,0.0,0.0,0.0,23.553,0.0024
16,LJ017,2021-08-30 08:40:00,Lake Jackson ,6.28,7.72,58.1,4.517,0.435,1.781,4.649,0.0827,5.1918,0.0,0.0,0.0,21.8522,0.0019
17,LJ018,2021-09-02 07:50:00,Lake Jackson ,6.26,7.74,69.6,7.701,1.687,1.861,4.377,0.0,5.156,0.0,0.0,0.0,26.3644,0.0022
