,ID,Sampling time,Location,Na_meqL,K_meqL,Mg_meqL,Ca_meqL,F_meqL,Cl_meqL,NO3_meqL,PO4_meqL,SO4_meqL,HCO3_meqL,CO3_meqL,CationSum,AnionSum,EB_perc
0,LJ000,2021-05-04 13:00:00,Lake Jackson ,0.106,0.028,0.149,0.178,-0.008,-0.167,-0.002,-0.0,-0.0,-0.276,-0.0,0.461,-0.44500000000000006,1.77
1,LJ002,2021-06-08 13:08:00,Lake Jackson ,0.079,0.024,0.079,0.119,-0.01,-0.132,-0.003,-0.0,-0.0,-0.12,-0.0,0.301,-0.255,8.27
3,LJ004,2021-06-21 11:18:00,Lake Jackson ,0.106,0.02,0.098,0.133,-0.003,-0.109,-0.0,-0.0,-0.0,-0.196,-0.0,0.357,-0.305,7.85
7,LJ008,2021-07-19 10:30:00,Lake Jackson ,0.104,0.017,0.081,0.129,-0.003,-0.086,-0.0,-0.0,-0.0,-0.186,-0.0,0.331,-0.272,9.78
12,LJ013,2021-08-17 11:50:00,Lake Jackson ,0.105,0.015,0.061,0.109,-0.0,-0.148,-0.0,-0.0,-0.0,-0.171,-0.0,0.29,-0.319,-4.76
16,LJ017,2021-08-30 08:40:00,Lake Jackson ,0.196,0.011,0.147,0.232,-0.004,-0.146,-0.0,-0.0,-0.0,-0.358,-0.0,0.586,-0.504,7.52
19,LJ020,2021-09-09 08:02:00,Lake Jackson ,0.189,0.017,0.168,0.243,-0.006,-0.186,-0.0,-0.0,-0.0,-0.364,-0.0,0.617,-0.55,5.74
20,LJ021,2021-09-13 08:10:00,Lake Jackson ,0.178,0.022,0.192,0.266,-0.005,-0.174,-0.0,-0.0,-0.0,-0.456,-0.0,0.658,-0.63,2.17
22,LJ023,2021-09-30 08:00:00,Lake Jackson ,0.134,0.01,0.19,0.245,-0.0,-0.127,-0.0,-0.0,-0.0,-0.408,-0.0,0.579,-0.5349999999999999,3.95
23,LJ024,2021-10-07 08:47:00,Lake Jackson ,0.135,0.015,0.187,0.121,-0.0,-0.127,-0.0,-0.0,-0.0,-0.364,-0.0,0.458,-0.491,-3.48
24,LJ025,2021-10-14 08:00:00,Lake Jackson ,0.127,0.024,0.189,0.208,-0.005,-0.11,-0.0,-0.0,-0.003,-0.35,-0.0,0.5479999999999999,-0.46299999999999997,8.41
25,LJ026,2021-10-20 07:45:00,Lake Jackson ,0.128,0.018,0.17,0.203,-0.008,-0.108,-0.0,-0.0,-0.003,-0.372,-0.0,0.519,-0.483,3.59
27,FW002,2021-06-08 13:44:00,FSU Well,0.737,0.105,0.079,1.187,-0.068,-0.316,-0.119,-0.057,-0.929,-0.581,-0.002,2.108,-1.945,4.02
29,FW005,2021-06-25 16:25:00,FSU Well,0.184,0.022,0.206,3.48,-0.007,-0.112,-0.015,-0.0,-0.069,-3.357,-0.027,3.892,-3.5530000000000004,4.55
30,FW006,2021-07-05 13:35:00,FSU Well,0.511,0.16,0.13,1.962,-0.019,-0.196,-0.071,-0.034,-0.471,-1.593,-0.003,2.763,-2.331,8.48
31,FW007,2021-07-12 14:10:00,FSU Well,0.249,0.032,0.183,3.194,-0.009,-0.129,-0.029,-0.018,-0.145,-3.059,-0.012,3.658,-3.362,4.22
32,FW008,2021-07-19 15:35:00,FSU Well,0.296,0.038,0.177,2.966,-0.016,-0.114,-0.027,-0.0,-0.168,-2.789,-0.008,3.4770000000000003,-3.0980000000000003,5.76
33,FW009,2021-07-27 15:00:00,FSU Well,0.244,0.05,0.204,3.496,-0.035,-0.112,-0.012,-0.0,-0.05,-3.388,-0.011,3.9939999999999998,-3.562,5.72
34,FW010,2021-08-02 15:15:00,FSU Well,0.208,0.034,0.194,3.388,-0.025,-0.117,-0.017,-0.014,-0.021,-3.308,-0.009,3.824,-3.4629999999999996,4.95
35,FW011,2021-08-09 12:00:00,FSU Well,0.243,0.036,0.18,3.176,-0.014,-0.127,-0.027,-0.0,-0.137,-3.076,-0.009,3.6350000000000002,-3.3670000000000004,3.83
36,FW012,2021-08-13 10:30:00,FSU Well,0.167,0.02,0.204,3.51,-0.007,-0.094,-0.012,-0.0,-0.044,-3.438,-0.017,3.901,-3.588,4.18
37,FW013,2021-08-17 14:30:00,FSU Well,0.182,0.019,0.198,3.586,-0.012,-0.16,-0.018,-0.0,-0.085,-3.4,-0.011,3.985,-3.663,4.21
38,FW014,2021-08-20 11:30:00,FSU Well,0.197,0.029,0.197,3.524,-0.013,-0.107,-0.014,-0.0,-0.059,-3.387,-0.01,3.947,-3.567,5.06
39,FW015,2021-08-24 12:50:00,FSU Well,0.185,0.024,0.335,3.45,-0.011,-0.09,-0.013,-0.0,-0.054,-3.385,-0.012,3.994,-3.5419999999999994,6.0
40,FW016,2021-08-26 14:45:00,FSU Well,0.182,0.022,0.212,3.469,-0.0,-0.1,-0.0,-0.0,-0.054,-3.394,-0.011,3.885,-3.548,4.53
41,FW017,2021-08-30 11:20:00,FSU Well,0.17,0.019,0.21,3.48,-0.01,-0.128,-0.017,-0.0,-0.068,-3.44,-0.015,3.879,-3.653,3.0
42,FW018,2021-09-02 13:50:00,FSU Well,0.181,0.02,0.214,3.546,-0.015,-0.159,-0.0,-0.0,-0.06,-3.471,-0.016,3.961,-3.69,3.54
43,FW019,2021-09-07 12:15:00,FSU Well,0.193,0.025,0.205,3.43,-0.028,-0.17,-0.026,-0.0,-0.118,-3.358,-0.009,3.853,-3.6719999999999997,2.41
44,FW020,2021-09-09 09:27:00,FSU Well,0.203,0.032,0.211,3.52,-0.03,-0.197,-0.022,-0.0,-0.087,-3.452,-0.011,3.966,-3.758,2.69
45,FW021,2021-09-13 11:00:00,FSU Well,0.165,0.019,0.209,3.519,-0.011,-0.141,-0.018,-0.0,-0.068,-3.465,-0.013,3.912,-3.6919999999999997,2.89
46,FW022,2021-09-16 14:55:00,FSU Well,0.167,0.018,0.209,3.499,-0.005,-0.073,-0.013,-0.0,-0.042,-3.431,-0.01,3.8930000000000002,-3.5589999999999997,4.48
47,FW023,2021-09-30 10:30:00,FSU Well,0.221,0.027,0.196,3.209,-0.017,-0.152,-0.03,-0.0,-0.162,-3.14,-0.007,3.653,-3.484,2.37
48,FW024,2021-10-07 10:50:00,FSU Well,0.218,0.026,0.193,3.341,-0.023,-0.157,-0.029,-0.016,-0.133,-3.231,-0.008,3.778,-3.55,3.11
49,FW025,2021-10-14 14:30:00,FSU Well,0.573,0.079,0.096,1.135,-0.072,-0.206,-0.106,-0.037,-0.76,-0.627,-0.0,1.883,-1.699,5.14
50,FW026,2021-10-20 10:50:00,FSU Well,0.296,0.036,0.162,2.613,-0.028,-0.141,-0.041,-0.028,-0.24,-2.63,-0.006,3.107,-3.052,0.89
51,WS001,2021-06-08 15:10:00,Wakulla Springs,0.241,0.019,0.826,2.333,-0.007,-0.207,-0.031,-0.0,-0.204,-2.669,-0.072,3.419,-3.111,4.72
52,WS002,2021-06-14 15:30:00,Wakulla Springs,0.244,0.031,0.828,2.327,-0.004,-0.144,-0.013,-0.0,-0.145,-2.758,-0.023,3.4299999999999997,-3.06,5.7
53,WS003,2021-06-21 12:30:00,Wakulla Springs,0.241,0.028,0.826,2.344,-0.007,-0.163,-0.02,-0.0,-0.166,-2.735,-0.06,3.439,-3.0839999999999996,5.44
54,WS004,2021-06-25 23:40:00,Wakulla Springs,0.25,0.017,0.819,2.328,-0.008,-0.164,-0.015,-0.0,-0.165,-2.765,-0.012,3.4139999999999997,-3.1090000000000004,4.68
55,WS005,2021-07-05 11:32:00,Wakulla Springs,0.27,0.014,0.835,2.335,-0.006,-0.185,-0.021,-0.0,-0.17,-2.779,-0.022,3.4539999999999997,-3.155,4.52
56,WS006,2021-07-12 12:12:00,Wakulla Springs,0.243,0.017,0.835,2.334,-0.006,-0.163,-0.019,-0.0,-0.165,-2.765,-0.012,3.4290000000000003,-3.112,4.85
57,WS007,2021-07-19 13:15:00,Wakulla Springs,0.236,0.026,0.839,2.331,-0.005,-0.135,-0.019,-0.0,-0.144,-2.843,-0.012,3.432,-3.141,4.43
58,WS008,2021-07-27 09:40:00,Wakulla Springs,0.243,0.024,0.842,2.332,-0.005,-0.117,-0.015,-0.016,-0.132,-2.836,-0.009,3.441,-3.1,5.21
59,WS009,2021-08-02 09:30:00,Wakulla Springs,0.236,0.018,0.832,2.303,-0.004,-0.147,-0.018,-0.0,-0.154,-2.762,-0.015,3.389,-3.0809999999999995,4.76
60,WS010,2021-08-09 09:05:00,Wakulla Springs,0.237,0.021,0.803,2.298,-0.006,-0.144,-0.016,-0.0,-0.149,-2.774,-0.009,3.359,-3.083,4.28
61,WS011,2021-08-13 09:00:00,Wakulla Springs,0.235,0.017,0.828,2.293,-0.0,-0.121,-0.014,-0.0,-0.125,-2.772,-0.011,3.373,-3.0319999999999996,5.32
62,WS012,2021-08-17 09:25:00,Wakulla Springs,0.233,0.013,0.76,2.383,-0.005,-0.187,-0.019,-0.0,-0.217,-2.774,-0.01,3.3890000000000002,-3.197,2.92
63,WS013,2021-08-20 08:35:00,Wakulla Springs,0.257,0.021,0.777,2.376,-0.007,-0.129,-0.014,-0.0,-0.152,-2.799,-0.008,3.431,-3.094,5.16
64,WS014,2021-08-24 08:20:00,Wakulla Springs,0.237,0.014,0.93,2.379,-0.005,-0.118,-0.014,-0.0,-0.132,-2.796,-0.011,3.56,-3.0599999999999996,7.55
65,WS015,2021-08-26 12:30:00,Wakulla Springs,0.235,0.015,0.806,2.278,-0.005,-0.134,-0.02,-0.0,-0.145,-2.721,-0.01,3.334,-3.02,4.94
66,WS016,2021-08-30 09:45:00,Wakulla Springs,0.232,0.015,0.789,2.296,-0.0,-0.131,-0.02,-0.0,-0.175,-2.752,-0.011,3.332,-3.078,3.96
67,WS017,2021-09-02 08:45:00,Wakulla Springs,0.234,0.014,0.795,2.285,-0.0,-0.218,-0.028,-0.0,-0.259,-2.71,-0.013,3.3280000000000003,-3.215,1.73
68,WS018,2021-09-07 08:55:00,Wakulla Springs,0.235,0.015,0.801,2.273,-0.0,-0.195,-0.029,-0.0,-0.211,-2.745,-0.01,3.3240000000000003,-3.1799999999999997,2.21
69,WS019,2021-09-09 08:50:00,Wakulla Springs,0.234,0.014,0.802,2.311,-0.013,-0.229,-0.04,-0.0,-0.202,-2.744,-0.009,3.3609999999999998,-3.2150000000000003,2.22
70,WS020,2021-09-13 09:10:00,Wakulla Springs,0.23,0.015,0.784,2.288,-0.0,-0.158,-0.021,-0.0,-0.174,-2.764,-0.007,3.3169999999999997,-3.1169999999999995,3.11
71,WS021,2021-09-16 09:15:00,Wakulla Springs,0.228,0.016,0.787,2.334,-0.0,-0.107,-0.01,-0.0,-0.13,-2.731,-0.008,3.365,-2.9779999999999998,6.1
72,WS022,2021-09-30 08:55:00,Wakulla Springs,0.221,0.014,0.765,2.188,-0.005,-0.202,-0.025,-0.0,-0.206,-2.612,-0.006,3.188,-3.045,2.29
73,WS023,2021-10-07 09:40:00,Wakulla Springs,0.224,0.014,0.756,2.271,-0.0,-0.206,-0.023,-0.0,-0.225,-2.724,-0.024,3.2649999999999997,-3.1780000000000004,1.35
74,WS024,2021-10-14 09:30:00,Wakulla Springs,0.205,0.016,0.776,2.22,-0.008,-0.169,-0.018,-0.0,-0.168,-2.642,-0.008,3.217,-2.997,3.54
75,WS025,2021-10-20 08:45:00,Wakulla Springs,0.223,0.016,0.725,2.049,-0.006,-0.166,-0.021,-0.0,-0.164,-2.65,-0.008,3.013,-3.001,0.2
