,Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,Cl,CO3,SO4,TDS
0,LJ000,Lake Jackson ,k,o,30,0.9,6.52,3.56,1.812,2.44,1.077,16.8371,5.9191,0.0026,0.0,36.47
1,LJ002,Lake Jackson ,k,o,30,0.9,6.55,2.393,0.966,1.818,0.949,7.3283,4.67,0.0012,0.0,22.4
2,LJ003,Lake Jackson ,k,o,30,0.9,5.99,2.46,1.023,2.275,0.733,8.8397,3.8784,0.0004,0.0,24.5
3,LJ004,Lake Jackson ,k,o,30,0.9,6.31,2.656,1.197,2.439,0.778,11.9755,3.8762,0.0011,0.0,26.599999999999998
4,LJ005,Lake Jackson ,k,o,30,0.9,6.12,3.499,1.543,4.056,2.849,13.3341,5.0591,0.0008,0.0,41.65
5,LJ006,Lake Jackson ,k,o,30,0.9,6.59,1.084,3.204,3.366,2.748,13.5423,5.7432,0.0024,0.0,36.12
6,LJ007,Lake Jackson ,k,o,30,0.9,6.24,0.866,2.321,1.665,0.405,10.1524,2.7345,0.0008,0.0,20.65
7,LJ008,Lake Jackson ,k,o,30,0.9,6.19,2.581,0.987,2.388,0.66,11.376,3.0387,0.0008,0.0,25.13
8,LJ009,Lake Jackson ,k,o,30,0.9,6.24,2.585,0.97,2.381,0.77,10.64,2.9362,0.0009,0.0,24.779999999999998
9,LJ010,Lake Jackson ,k,o,30,0.9,6.07,2.521,0.932,2.539,1.336,9.6825,4.0744,0.0005,0.0,27.65
10,LJ011,Lake Jackson ,k,o,30,0.9,6.19,3.117,1.165,2.706,2.024,11.9855,4.6289,0.0009,0.0,32.41
11,LJ012,Lake Jackson ,k,o,30,0.9,6.01,2.81,0.938,3.037,2.243,9.9341,4.1874,0.0005,0.0,31.15
12,LJ013,Lake Jackson ,k,o,30,0.9,6.15,2.187,0.743,2.411,0.588,10.405,5.2332,0.0007,0.0,22.609999999999996
13,LJ014,Lake Jackson ,k,o,30,0.9,6.14,3.177,1.16,4.057,1.413,14.673,4.5962,0.0009,0.0,35.559999999999995
14,LJ015,Lake Jackson ,k,o,30,0.9,6.36,7.123,3.563,7.046,2.8743,27.0874,5.0522,0.0029,0.0,57.46999999999999
15,LJ016,Lake Jackson ,k,o,30,0.9,6.35,4.947,2.071,5.185,1.314,23.553,4.9495,0.0024,0.0,48.36999999999999
16,LJ017,Lake Jackson ,k,o,30,0.9,6.28,4.649,1.781,4.517,0.435,21.8522,5.1918,0.0019,0.0,40.67
17,LJ018,Lake Jackson ,k,o,30,0.9,6.26,4.377,1.861,7.701,1.687,26.3644,5.156,0.0022,0.0,48.71999999999999
18,LJ019,Lake Jackson ,k,o,30,0.9,6.23,5.365,1.951,5.822,0.623,24.6604,5.7898,0.0019,0.0,47.949999999999996
19,LJ020,Lake Jackson ,k,o,30,0.9,6.28,4.87,2.037,4.345,0.684,22.2179,6.5833,0.002,0.0,43.82
20,LJ021,Lake Jackson ,k,o,30,0.9,6.47,5.336,2.334,4.09,0.874,27.8108,6.1846,0.0038,0.0,44.519999999999996
21,LJ022,Lake Jackson ,k,o,30,0.9,6.37,5.484,2.484,4.067,0.736,27.0867,3.0883,0.0029,0.0,45.919999999999995
22,LJ023,Lake Jackson ,k,o,30,0.9,6.49,4.916,2.306,3.073,0.397,24.8841,4.509,0.0035,0.0,39.269999999999996
23,LJ024,Lake Jackson ,k,o,30,0.9,6.29,2.429,2.272,3.115,0.583,22.2171,4.507,0.002,0.0,41.51
24,LJ025,Lake Jackson ,k,o,30,0.9,6.25,4.163,2.299,2.928,0.932,21.3671,3.8985,0.0018,0.1234,39.059999999999995
25,LJ026,Lake Jackson ,k,o,30,0.9,6.44,4.058,2.069,2.934,0.704,22.6931,3.8362,0.0029,0.1227,36.82
26,LJ027,Lake Jackson ,k,o,30,0.9,6.22,3.816,2.141,2.515,0.575,20.3945,3.4923,0.0016,10.667,35.769999999999996
