ID,Datatime_Collection,Li,Na,NH4,K,Mg,Ca,F,Cl,NO2,Br,NO3,PO4,SO4,EC,TDS,pH,pOH,TotalAlk(mg/L_asCaCO3),Fe,Temp
FW100A,,0,20.554,1.313,4.859,2.124,30.762,1.308,9.3182,0.0335,0.0535,8.1533,1.4925,45.2252,213,149.1,6.93,7.07,29.2,,22
FW100B,,0,19.351,1.19,4.4,2.291,38.636,1.2288,9.0458,0.0666,0.0495,7.3998,1.4578,41.8836,232,162.4,7.33,6.67,46.2,,22
FW100C,,0,23.277,1.383,5.486,2.216,34.128,1.3143,10.555,0.0224,0.0581,9.6716,1.5028,52.681,205,143.5,7.19,6.81,27.5,,21.9
FW101,2/3/2022 17:20,0,19.929,1.255,5.347,1.94,28.456,1.412,8.743,0.0939,0.0573,8.1602,1.2894,44.4687,201,140.7,6.83,7.17,23.6,0.22,20.5
FW102,2/4/2022 10:45,0,20.288,1.197,5.1,2.117,32.874,1.5083,9.1747,0.1008,0.0789,8.1795,1.5216,44.7318,211,147.7,7.13,6.87,30.1,0.09,19.7
FW103,2/5/2022 12:10,0,17.335,0.894,4.183,2.651,49.071,1.2057,9.1106,0.0888,0.0636,6.2254,1.2443,33.5713,252,176.4,8.21,5.79,67.5,0.087,20.7
FW104,2/6/2022 18:40,0,11.149,0.454,2.466,3.369,66.684,0.6093,6.7956,0.0212,0.0566,3.9636,0.8244,19,294,205.8,7.72,6.28,115.2,0.33,21.9
FW105,2/7/2022 13:40,0,7.909,0.209,1.409,4.35,90.422,0.353,6.1536,0,0.0543,2.3276,0.5909,8.9506,298,208.6,7.64,6.36,135.8,0,21.3
FW106,2/8/2022 11:40,0,6.577,0.103,1.828,4.24,85.823,0.384,5.5829,0,0.0533,1.5865,0.4624,4.7882,319,223.3,7.62,6.38,152.2,0,21.1
FW107,2/9/2022 16:00,0,6.049,0.156,0.1325,3.903,77.68,0.3223,5.278,0,0.0465,1.6294,0.4524,5.2684,308,215.6,7.71,6.29,143.8,0.163,21.9
FW108,2/10/2022 11:20,0,5.85,0,0.839,4.25,85.525,0.2146,5.3396,0,0.049,1.6084,0.3582,3.6534,318,222.6,7.69,6.31,151.8,0.13,21.8
FW109,2/11/2022 10:45,0,5.325,0,0.825,4.116,83.67,0.1803,4.943,0,0.0425,1.3531,0.4177,3.5281,326,228.2,7.66,6.34,155,0.117,21.9
FW110,2/12/2022 15:20,0,6.262,0,1.08,4.677,100.452,0.2068,5.7119,0,0.0495,1.5799,0.5233,4.2142,338,236.6,7.58,6.42,164.2,0.08,21.8
FW111,2/13/2022 15:35,0,4.974,0,0.741,4.005,81.002,0.1779,4.748,0,0.0598,1.255,0.4369,3.0102,311,217.7,7.8,6.2,150.2,0,21.9
FW112,2/14/2022 11:25,0,5.122,0,0.849,4.087,81.378,0.1972,4.8287,0,0.0884,1.5731,0.3796,2.982,313,219.1,7.55,6.45,150.8,0.1,21.1
FW113,2/16/2022 11:45,0,5.468,0,0.846,3.962,73.645,0.1944,4.853,0,0.0463,1.6851,0.7718,4.0573,289,202.3,7.58,6.42,136.1,0.043,20.9
FW114,2/17/2022 12:35,0,5.037,0,0.889,3.928,80.686,0.2258,4.5365,0.0431,0.0674,1.6418,0.5724,3.6784,307,214.9,7.65,6.35,148.4,0.04,22
FW115,2/18/2022 10:20,0,3.88,0,0.55,3.178,63.919,0.179,3.6208,0.0264,0.0954,1.2795,0.6402,2.5307,293,205.1,7.51,6.49,140.3,0,20.9
FW116,2/19/2022 14:45,0,2.648,0.091,0.303,2.487,48.628,0.167,2.5284,0.0247,0.0611,0.9351,0.4153,1.9943,277,193.9,7.73,6.27,133.9,0.067,20.5
FW117,2/20/2022 11:15,0,3.842,0,0.557,3.185,70.637,0.2131,3.5297,0.0289,0.0308,1.1144,0.4432,2.6878,263,184.1,7.75,6.25,127.6,0,20.6
FW118,2/21/2022 17:00,0,4.33,0,0.716,3.392,66.632,0.2302,3.9091,0.0393,0.0727,1.4884,0.6786,3.2987,281,196.7,7.6,6.4,134.2,0.053,20.2
FW120,2/22/2022 11:30,0,4.926,0,0.583,3.955,68.072,0.211,4.6026,0.0445,0.0517,1.5691,0.6837,3.2375,251,175.7,7.8,6.2,120,0.07,20.3
FW121,2/23/2022 10:45,0,4.695,0,0.621,3.779,71.909,0.186,4.4453,0,0.1358,1.5386,0.6612,2.7991,286,200.2,7.67,6.33,136.3,0,20.6
FW122,2/24/2022 16:40,0,3.988,0.094,0.655,3.303,59.688,0.229,4.0091,0.0587,0.0366,1.2295,0.6464,2.5026,234,163.8,7.83,6.17,110.9,0,20.1
FW123,2/25/2022 11:20,0,3.042,0,0.362,2.699,51.879,0.2031,4.8422,0,0,1.5603,0.4821,2.8658,225,157.5,7.86,6.14,108,0.11,20.3
FW124,2/26/2022 14:10,0,4.663,0,0.829,3.832,78.534,0.2141,4.3129,0,0.0414,1.3134,0.5073,3.0039,272,190.4,7.81,6.19,131.7,0,22.1
FW125,2/27/2022 15:30,0,5.1,0.109,0.761,4.01,84.152,0.2053,4.7834,0.0027,0.0405,1.5009,0.5209,3.3601,321,224.7,7.72,6.28,154.8,0,22.2
FW126,2/28/2022 10:10,0,5.102,0.119,0.825,3.949,85.602,0.5745,4.6681,0,0.0449,1.5066,0.514,3.5041,326,228.2,7.68,6.32,157,0,22.1
FW127,3/9/2022 10:00,0,5.876,0.167,1.022,3.992,82.775,0.2414,4.9981,0,0.0442,1.534,0.5043,5.2489,321,224.7,7.62,6.38,152.6,0,22.1
FW128,3/10/2022 11:15,0,3.744,0,0.739,3.164,75.674,0.1829,3.4449,0,0.0419,0.948,0.4555,2.661,283,198.1,8.08,5.92,139,0.03,22.1
FW129,3/11/2022 14:20,0,4.652,0.168,0.523,3.551,83.908,0.1915,4.0643,0,0.0406,1.1413,0.4828,3.2499,317,221.9,7.7,6.3,154.5,0,22
FW130,3/12/2022 16:30,0,5.437,0.083,1.075,3.953,86.2,0.2039,5.0468,0,0.0433,1.4698,0.469,3.9024,322,225.4,7.59,6.41,155.8,0,33
FW131,3/14/2022 12:00,0,4.152,0,0.548,3.446,82.234,0.1909,3.8679,0,0.0413,1.1253,0.4929,3.2155,308,215.6,7.65,6.35,148.3,,21.9
FW132,3/15/2022 9:30,0,4.996,0,0.693,4.019,94.186,0.1807,3.0227,0.0353,0.0385,1.0223,0.5029,2.0306,355,248.5,7.47,6.53,174.1,,21.6
FW133,,0,5.213,0.119,0.776,4.184,93.785,0.1944,4.9585,0,0.0491,1.4165,0.576,3.4859,355,248.5,7.5,6.5,172.3,,22.1
LJ101,2/14/2022,0,7.316,0,2.371,2.416,3.48,0.0467,7.9401,0.003,0.0167,0.0476,0,0.0907,54.8,38.36,6.94,7.06,12.9,0,21.5
LJ102,2/19/2022,0,6.474,0,2.226,2.134,3.126,0.0837,7.0926,0,0,0.0628,0,0.0822,48.4,33.88,7.36,6.64,10.7,0.26,21
LJ103,2/26/2022,0,6.94,0,2.717,2.211,3.44,0.0488,7.8769,0.041,0.013,0.0328,0,0.1168,53.2,37.24,7.43,6.57,12.3,0,22
