ID,Location,Sampling time,dD vs vsmow,d18O vs vsmow,Lithium,Sodium,Ammonium,Potassium,Magnesium,Calcium,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,pH,pOH,Total Alkalinity (mg/L as CaCO3),Bicarbonate,EC(us/cm),color
LJ000,Porter Sink ,5/4/2021 13:00,15,3.48,0,2.44,0,1.077,1.812,3.56,0.1552,5.9191,0,0,0.1223,0,0,6.52,7.48,13.8,16.836,52.1,k
LJ001,Porter Sink ,6/7/2021 13:49,25.9,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11,8.89,2.8,3.416,44.5,k
LJ002,Porter Sink ,6/8/2021 13:08,23.3,5.29,0,1.818,0,0.949,0.966,2.393,0.1882,4.67,0,0,0.213,0,0,6.55,7.45,6,7.32,32,k
LJ003,Porter Sink ,6/14/2021 17:20,29.4,6.43,0,2.275,0,0.733,1.023,2.46,0.0517,3.8784,0,0,0.1929,0,0,5.99,8.01,7.2,8.784,35,k
LJ004,Porter Sink ,6/21/2021 11:18,5.1,3.2,0,2.439,0,0.778,1.197,2.656,0.0557,3.8762,0,0,0,0,0,6.31,7.69,9.8,11.956,38,k
LJ005,Porter Sink ,6/25/2021 10:40,-8.1,0.22,0,4.056,0,2.849,1.543,3.499,0,5.0591,0,0,0,0,0,6.12,7.88,10.9,13.298,59.5,k
LJ006,Porter Sink ,7/5/2021 10:13,-0.3,1.05,0,3.366,0,2.748,3.204,1.084,0.0861,5.7432,0,0,0,0,0,6.59,7.41,11.1,13.542,51.6,k
LJ007,Porter Sink ,7/12/2021 10:14,4.8,2.23,0,1.665,0,0.405,2.321,0.866,0.047,2.7345,0,0,0.2854,0,0,6.24,7.76,8.3,10.126,29.5,k
LJ008,Porter Sink ,7/19/2021 10:30,11.2,2.89,0.008,2.388,0,0.66,0.987,2.581,0.0532,3.0387,0,0,0,0,0,6.19,7.81,9.3,11.346,35.9,k
LJ009,Porter Sink ,7/27/2021 11:20,10,2.74,0,2.381,0,0.77,0.97,2.585,0,2.9362,0,0,0,0,0,6.24,7.76,8.7,10.614,35.4,k
LJ010,Porter Sink ,8/2/2021 10:45,12.6,3.56,0,2.539,0,1.336,0.932,2.521,0.1081,4.0744,0,0,0,0,0,6.07,7.93,7.9,9.638,39.5,k
LJ011,Porter Sink ,8/9/2021 10:45,14.7,3.87,0,2.706,0,2.024,1.165,3.117,0.05,4.6289,0,0,0,0,0,6.19,7.81,9.8,11.956,46.3,k
LJ012,Porter Sink ,8/12/2021 14:38,17.2,4.75,0,3.037,0.366,2.243,0.938,2.81,0.1419,4.1874,0,0,0,0,0,6.01,7.99,8.1,9.882,44.5,k
LJ013,Porter Sink ,8/17/2021 11:50,4.5,1.42,0,2.411,0,0.588,0.743,2.187,0,5.2332,0,0,0,0,0,6.15,7.85,8.5,10.37,32.3,k
LJ014,Porter Sink ,8/20/2021 9:45,5.4,1.81,0,4.057,0.069,1.413,1.16,3.177,0,4.5962,0,0,0,0,0,6.14,7.86,12,14.64,50.8,k
LJ015,Porter Sink ,8/24/2021 9:25,5.1,1.75,0,7.046,0,2.8743,3.563,7.123,0.0458,5.0522,0,0,0,0,0,6.36,7.64,22.2,27.084,82.1,k
LJ016,Porter Sink ,8/26/2021 13:40,9.3,2.03,0,5.185,0,1.314,2.071,4.947,0,4.9495,0,0,0,0,0,6.35,7.65,19.3,23.546,69.1,k
LJ017,Porter Sink ,8/30/2021 8:40,5.5,1.55,0,4.517,0,0.435,1.781,4.649,0.0827,5.1918,0,0,0,0,0,6.28,7.72,17.9,21.838,58.1,k
LJ018,Porter Sink ,9/2/2021 7:50,-1,0.19,0,7.701,0.02,1.687,1.861,4.377,0,5.156,0,0,0,0,0,6.26,7.74,21.6,26.352,69.6,k
