COOPID, YEAR, MONTH, DAY,precipitation,Date
88758,2021,6,1,0,6/1/2021
88758,2021,6,2,0,6/2/2021
88758,2021,6,3,0,6/3/2021
88758,2021,6,4,0,6/4/2021
88758,2021,6,5,0,6/5/2021
88758,2021,6,6,0,6/6/2021
88758,2021,6,7,0.34,6/7/2021
88758,2021,6,8,0,6/8/2021
88758,2021,6,9,0,6/9/2021
88758,2021,6,10,0,6/10/2021
88758,2021,6,11,0,6/11/2021
88758,2021,6,12,0.41,6/12/2021
88758,2021,6,13,1.26,6/13/2021
88758,2021,6,14,0,6/14/2021
88758,2021,6,15,0.00001,6/15/2021
88758,2021,6,16,0.00001,6/16/2021
88758,2021,6,17,0,6/17/2021
88758,2021,6,18,0.01,6/18/2021
88758,2021,6,19,0.15,6/19/2021
88758,2021,6,20,0.65,6/20/2021
88758,2021,6,21,0.32,6/21/2021
88758,2021,6,22,0.67,6/22/2021
88758,2021,6,23,0.78,6/23/2021
88758,2021,6,24,0.63,6/24/2021
88758,2021,6,25,0.00001,6/25/2021
88758,2021,6,26,0.00001,6/26/2021
88758,2021,6,27,0.00001,6/27/2021
88758,2021,6,28,0,6/28/2021
88758,2021,6,29,0.23,6/29/2021
88758,2021,6,30,0.39,6/30/2021
88758,2021,7,1,0,7/1/2021
88758,2021,7,2,0.1,7/2/2021
88758,2021,7,3,0.00001,7/3/2021
88758,2021,7,4,0.56,7/4/2021
88758,2021,7,5,0.74,7/5/2021
88758,2021,7,6,0.3,7/6/2021
88758,2021,7,7,0.26,7/7/2021
88758,2021,7,8,0.35,7/8/2021
88758,2021,7,9,0.1,7/9/2021
88758,2021,7,10,0.05,7/10/2021
88758,2021,7,11,0,7/11/2021
88758,2021,7,12,0.11,7/12/2021
88758,2021,7,13,0,7/13/2021
88758,2021,7,14,0.07,7/14/2021
88758,2021,7,15,0,7/15/2021
88758,2021,7,16,0,7/16/2021
88758,2021,7,17,0.21,7/17/2021
88758,2021,7,18,0.4,7/18/2021
88758,2021,7,19,0.28,7/19/2021
88758,2021,7,20,0.5,7/20/2021
88758,2021,7,21,0.07,7/21/2021
88758,2021,7,22,0,7/22/2021
88758,2021,7,23,0.03,7/23/2021
88758,2021,7,24,0,7/24/2021
88758,2021,7,25,0,7/25/2021
88758,2021,7,26,0,7/26/2021
88758,2021,7,27,0.07,7/27/2021
88758,2021,7,28,0.33,7/28/2021
